model,scope,feature_set,site_id,horizon,split,n_seeds,n_obs,BIAS,BIAS_std,KGE,KGE_std,MAE,MAE_std,NSE,NSE_std,PBIAS,PBIAS_std,R2,R2_std,RMSE,RMSE_std,SKILL_RMSE,SKILL_RMSE_std,CRPS,CRPS_std,EVT_AUPRC,EVT_AUPRC_std,EVT_AUROC,EVT_AUROC_std,EVT_BASE_RATE,EVT_BASE_RATE_std,EVT_BRIER,EVT_BRIER_std,EVT_BRIER_SKILL,EVT_BRIER_SKILL_std,MPIW,MPIW_std,PICP,PICP_std,PINBALL,PINBALL_std,WINKLER,WINKLER_std
Persistence,per_station,-,p3,1,test,1,730,-0.003835616438356163,0.0,0.9984128749737671,0.0,0.10958904109589038,0.0,0.9978045414869229,0.0,-0.022335495090179548,0.0,0.9978045414869229,0.0,0.15867602903961522,0.0,6.302180999284701e-12,0.0,,,,,,,,,,,,,,,,,,,,
Persistence,per_station,-,p3,1,val,1,731,0.0017783857729138177,0.0,0.9984668909823783,0.0,0.12380300957592347,0.0,0.9971670402817393,0.0,0.010179153094462544,0.0,0.9971670402817393,0.0,0.17041833135182013,0.0,5.867972774353802e-12,0.0,,,,,,,,,,,,,,,,,,,,
Persistence,per_station,-,p3,3,calib,1,365,0.00904109589041095,0.0,0.9950644078807995,0.0,0.24246575342465762,0.0,0.9920517161609042,0.0,0.053814291771305506,0.0,0.9920517161609042,0.0,0.3121731167069332,0.0,3.203326492950964e-12,0.0,,,,,,,,,,,,,,,,,,,,
Persistence,per_station,-,p3,3,test,1,728,-0.011813186813186806,0.0,0.994253937557998,0.0,0.2472527472527472,0.0,0.9909119050320436,0.0,-0.06873731157184641,0.0,0.9909119050320436,0.0,0.3223795456113359,0.0,3.101852108500225e-12,0.0,,,,,,,,,,,,,,,,,,,,
Persistence,per_station,-,p3,3,val,1,731,0.00451436388508892,0.0,0.9943664066459723,0.0,0.26470588235294124,0.0,0.9891701713126957,0.0,0.025843435767315102,0.0,0.9891701713126957,0.0,0.33351340325462014,0.0,2.9982683003026978e-12,0.0,,,,,,,,,,,,,,,,,,,,
Persistence,per_station,-,p3,7,calib,1,365,0.02054794520547945,0.0,0.984370931976769,0.0,0.4534246575342466,0.0,0.9719597952032397,0.0,0.12238903394255873,0.0,0.9719597952032397,0.0,0.5885901427686192,0.0,1.698974294583877e-12,0.0,,,,,,,,,,,,,,,,,,,,
Persistence,per_station,-,p3,7,test,1,724,-0.029558011049723776,0.0,0.9834658573519094,0.0,0.4392265193370167,0.0,0.9718730285325642,0.0,-0.171712389771077,0.0,0.9718730285325642,0.0,0.5652457540140742,0.0,1.769140389740187e-12,0.0,,,,,,,,,,,,,,,,,,,,
Persistence,per_station,-,p3,7,val,1,731,0.007660738714090289,0.0,0.9825087266194347,0.0,0.49192886456908347,0.0,0.9655332934403206,0.0,0.043863428083559836,0.0,0.9655332934403206,0.0,0.5956982131491674,0.0,1.6786572132332367e-12,0.0,,,,,,,,,,,,,,,,,,,,
Persistence,per_station,-,s2,1,calib,1,365,0.0046575342465753405,0.0,0.9975404673203409,0.0,0.21178082191780834,0.0,0.9962373849705226,0.0,0.037507722178095476,0.0,0.9962373849705226,0.0,0.28395446287442183,0.0,3.5216274341109965e-12,0.0,,,,,,,,,,,,,,,,,,,,
Persistence,per_station,-,s2,1,test,1,730,-0.0008219178082191752,0.0,0.997647768728375,0.0,0.22520547945205485,0.0,0.9953357856542456,0.0,-0.006646726487205027,0.0,0.9953357856542456,0.0,0.30797615990282945,0.0,3.246958257818733e-12,0.0,,,,,,,,,,,,,,,,,,,,
