candidate,reference,horizon,site_id,effect
DampedPriorOnly,Persistence,7,12210700,-0.32222200418639035
DampedPriorOnly,Persistence,7,12212050,-0.27599111446236657
DampedPriorOnly,Persistence,7,12213100,-0.3036014828110707
DampedPriorOnly,Persistence,7,12363000,-0.25586768901196755
DampedPriorOnly,Persistence,7,12398600,-0.4026620806622627
DampedPriorOnly,Persistence,7,13018350,-0.5053288499097295
DampedPriorOnly,Persistence,7,13154500,-0.18483299562889877
DampedPriorOnly,Persistence,7,13317660,-0.4143463093354799
DampedPriorOnly,Persistence,7,13342500,-0.2729709461270744
DampedPriorOnly,Persistence,7,14091500,-0.22183272003703758
DampedPriorOnly,Persistence,7,14150800,-0.3863196869908019
DampedPriorOnly,Persistence,7,14151000,-0.13681953044284212
DampedPriorOnly,Persistence,7,14152000,-0.16996593156043194
DampedPriorOnly,Persistence,7,14153500,-0.18506533783780144
DampedPriorOnly,Persistence,7,14154500,-0.33207106235179795
DampedPriorOnly,Persistence,7,14159500,-0.1661258074235944
DampedPriorOnly,Persistence,7,14161500,-0.2498406819146386
DampedPriorOnly,Persistence,7,14179000,-0.18687821457226805
DampedPriorOnly,Persistence,7,14185000,-0.339066027153033
DampedPriorOnly,Persistence,7,14210000,-0.24512221827874292
DampedPriorOnly,Persistence,7,14211499,-0.46142931044193514
DampedPriorOnly,Persistence,7,14211500,-0.5056647215542858
DampedPriorOnly,Persistence,7,14320934,-0.2657845545844011
DampedPriorOnly,Persistence,7,255534081324000,-0.6270291087926894
DampedPriorOnly,DampedPersistence,1,01073319,0.0
DampedPriorOnly,DampedPersistence,1,01104415,0.0
DampedPriorOnly,DampedPersistence,1,01104455,0.0
DampedPriorOnly,DampedPersistence,1,01104475,0.0
DampedPriorOnly,DampedPersistence,1,01129500,0.0
DampedPriorOnly,DampedPersistence,1,01400500,0.0
DampedPriorOnly,DampedPersistence,1,01408029,0.0
DampedPriorOnly,DampedPersistence,1,01425000,0.0
DampedPriorOnly,DampedPersistence,1,01426500,0.0
DampedPriorOnly,DampedPersistence,1,01427207,0.0
DampedPriorOnly,DampedPersistence,1,01428500,0.0
DampedPriorOnly,DampedPersistence,1,01463500,0.0
DampedPriorOnly,DampedPersistence,1,01480617,0.0
DampedPriorOnly,DampedPersistence,1,01540500,0.0
