model,horizon,bin_low,bin_high,mean_forecast,observed_rate,n
TR-unbounded,7,0.4,0.5,0.4499482816144971,0.4808199121522694,3415
TR-unbounded,7,0.5,0.6000000000000001,0.5505297482818776,0.5715997603355303,3338
TR-unbounded,7,0.6000000000000001,0.7000000000000001,0.6494160494656456,0.663510101010101,3168
TR-unbounded,7,0.7000000000000001,0.8,0.7482943825962751,0.7724489795918368,2940
TR-unbounded,7,0.8,0.9,0.8493669140201524,0.886301901435778,2577
TR-unbounded,7,0.9,1.0,0.9468227532604345,0.9591939546599496,1985
ThermoRoute,1,0.0,0.1,0.0033382678793631264,0.003724717839867747,97994
ThermoRoute,1,0.1,0.2,0.14452167036131258,0.1522905489063145,2423
ThermoRoute,1,0.2,0.30000000000000004,0.24907013793279553,0.27178549664838514,1641
ThermoRoute,1,0.30000000000000004,0.4,0.3485097355251768,0.3533026113671275,1302
ThermoRoute,1,0.4,0.5,0.44965023212061517,0.4598976109215017,1172
ThermoRoute,1,0.5,0.6000000000000001,0.5503717288413692,0.5736245954692557,1236
ThermoRoute,1,0.6000000000000001,0.7000000000000001,0.6504345549049991,0.6624441132637854,1342
ThermoRoute,1,0.7000000000000001,0.8,0.7520585180295417,0.7582631237848347,1543
ThermoRoute,1,0.8,0.9,0.8545067811590171,0.8573333333333333,2250
ThermoRoute,1,0.9,1.0,0.9745767618087042,0.9665376973753006,9563
ThermoRoute,3,0.0,0.1,0.005522137147002153,0.005995629756407358,92901
ThermoRoute,3,0.1,0.2,0.14565345562761764,0.16725352112676056,3976
ThermoRoute,3,0.2,0.30000000000000004,0.24792702466430436,0.2710180915218163,2819
ThermoRoute,3,0.30000000000000004,0.4,0.34971324778962043,0.36266005782734406,2421
ThermoRoute,3,0.4,0.5,0.4493422187474416,0.4710239651416122,2295
ThermoRoute,3,0.5,0.6000000000000001,0.551110194883219,0.5675324675324676,2310
ThermoRoute,3,0.6000000000000001,0.7000000000000001,0.6507950692823318,0.6774061990212071,2452
ThermoRoute,3,0.7000000000000001,0.8,0.7502047424165087,0.7424942263279446,2598
ThermoRoute,3,0.8,0.9,0.8519097571380793,0.8490159901599016,3252
ThermoRoute,3,0.9,1.0,0.9551670944122738,0.9531317494600432,4630
ThermoRoute,7,0.0,0.1,0.006976436401711086,0.009295180857982194,89186
ThermoRoute,7,0.1,0.2,0.14549261092261978,0.15592298032649643,4778
ThermoRoute,7,0.2,0.30000000000000004,0.24878250079653094,0.2579269917399414,3753
ThermoRoute,7,0.30000000000000004,0.4,0.3496479761317647,0.3451118963486455,3396
ThermoRoute,7,0.4,0.5,0.44982941665526416,0.4784703402589581,3321
